Sample ID,Classifications,Cell Culture Media,LINE,Gender,Doubling time (hr),C4-POS RAW FILE,HILIC-POS RAW FILE,HILIC-NEG RAW FILE,glycine,alanine,serine,threonine,methionine,aspartate,glutamate,asparagine,glutamine,histidine,arginine,lysine,valine,leucine,isoleucine,phenylalanine,tyrosine,tryptophan,proline,cis/trans-hydroxyproline,ornithine,citrulline,taurine,5-HIAA,serotonin,GABA,acetylglycine,dimethylglycine,homocysteine,SDMA/ADMA,NMMA,allantoin,anthranilic acid,kynurenic acid,5-adenosylhomocysteine,carnosine,N-carbamoyl-beta-alanine,thiamine,niacinamide,betaine,choline,alpha-glycerophosphocholine,acetylcholine,creatine,creatinine,thyroxine,trimethylamine-N-oxide,hexoses (HILIC pos),adenosine,thymidine,xanthosine,2-deoxyadenosine,2-deoxycytidine,cotinine,pipecolic acid,pyroglutamic acid,1-methylnicotinamide,butyrobetaine,putrescine,methionine sulfoxide,carnitine,acetylcarnitine,propionylcarnitine,malonylcarnitine,butyrylcarnitine/isobutyrylcarnitine,valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,hexanoylcarnitine,heptanoylcarnitine,lauroylcarnitine,myristoylcarnitine,palmitoylcarnitine,stearoylcarnitine,oleylcarnitine,arachidonyl_carnitine,sarcosine,beta-alanine,anserine
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma_Hodgkin,DMEM + 10% FBS,Batch6_7,female,NA,0293_CCLE_Batch6_7_LIP-Hs611T.wiff,0293_CCLE_Batch6_7_HIL-Hs 611.T.wiff,0293_CCLE_Batch_6_7_CMH_Hs-611-T.wiff,6292,322578,293711,202252,238456,606358,2181098,417699,4534627,1624050,3628056,917156,798415,5029422,5401888,2698031,111954,335338,5743125,354072,409467,23338,196389,737,149,75600,1140,59472,829,185027,10069,91210,1405,10740,1308,82739,49345,1433274,264876,3484445,6025773,48914,,1631074,495438,446,7492,4914,24471,18367,8663,12139,78666,5889,337,389879,2121,185199,416887,26672,339847,773380,235151,16072,147542,46986,5139,982,691,1917,6166,1881,1461,162,4572,17619,1241
HS698T_LARGE_INTESTINE,colorectal,DMEM + 10% FBS,Batch6_7,male,NA,0298_CCLE_Batch6_7_LIP-Hs698T.wiff,0298_CCLE_Batch6_7_HIL-Hs 698.T.wiff,0298_CCLE_Batch_6_7_CMH_Hs-698-T.wiff,5546,186838,232838,227880,317757,359830,1970187,480737,5006044,1998502,5493368,1161694,1028538,6941058,7793171,3635761,151344,430751,7730512,363081,424618,29860,250938,554,451,74775,1186,94035,2387,235836,12956,108855,4340,22288,1261,36689,2918,1966387,312765,5150013,4761780,705164,,3460697,976079,456,6214,4375,4683,5471,13542,9713,17053,4651,151,898922,14407,462995,763588,50321,989671,2154295,431943,12747,178833,209219,8645,1019,390,638,5604,3396,1856,246,2938,20870,941
HS936T_SKIN,melanoma,DMEM + 10% FBS,Batch6_7,male,NA,0267_CCLE_Batch6_7_LIP-Hs936T.wiff,0267_CCLE_Batch6_7_HIL-Hs 936.T.wiff,0267_CCLE_Batch_6_7_CMH_Hs-936-T.wiff,8754,133239,198453,1226706,819850,144701,2519205,16961,8200279,5561349,2900529,7704538,6778686,14481375,16720946,18082597,704126,1776881,6231116,17229,224791,30074,932856,1216,7247,23745,3634,62799,25983,392501,50775,139991,4753,20437,4580,49735,8605,7306207,1778505,5405243,5040668,2660394,,8183754,1594282,988,8170,6778,27090,1722,19103,1637,4367,13447,410,2974285,198881,1387722,944499,53922,2766030,5061307,2153384,47568,621227,158371,44039,4125,2386,3425,2481,864,1190,77,2536,84428,1011
HS939T_SKIN,melanoma,DMEM + 10% FBS,Batch6_7,female,40.88309514,0294_CCLE_Batch6_7_LIP-Hs939T.wiff,0294_CCLE_Batch6_7_HIL-Hs 939.T.wiff,0294_CCLE_Batch_6_7_CMH_Hs-939-T.wiff,10951,223066,206201,443958,210194,185492,1162426,265067,5468263,3012562,1996924,1863425,1513101,4549959,4678340,4581263,171050,507634,6515022,54909,759588,30192,106723,2170,206,19840,640,60782,122,152271,6170,57244,981,8591,340,29287,2844,1157862,184378,2729895,3088043,104227,,1323969,425024,116,15032,3324,7241,666738,7737,10411,940751,7462,401,435049,588,138473,321228,13023,259188,880968,225949,3262,385477,53855,7627,791,2027,7926,28683,7590,14329,175,1816,11026,716
HS944T_SKIN,melanoma,DMEM + 10% FBS,Batch6_7,male,32.56583574,0286_CCLE_Batch6_7_LIP-Hs944T.wiff,0286_CCLE_Batch6_7_HIL-Hs 944.T.wiff,0286_CCLE_Batch_6_7_CMH_Hs-944-T.wiff,3483,535354,202987,121196,203591,119306,763633,492837,2694350,1406655,4458055,467575,436747,3490271,5052407,1577501,100301,252521,10542400,425920,314241,11260,606673,747,2107,80730,1250,71773,9361,288086,23410,92596,4173,10679,2291,27159,21870,1273510,267989,3912683,1430013,1295444,,4160197,675017,669,6759,491,3981,1695,5095,2973,4818,25965,1063,589054,7391,560575,618153,31246,1034818,5420985,1150291,23449,267214,420233,3574,339,2500,3618,22504,4225,7683,239,13676,47337,650
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,endometrium,MEM + 10% FBS,Batch6_7,female,30.8723266,0187_CCLE_Batch6_7_LIP-IshikawaHeraklio02ER-.wiff,0187_CCLE_Batch6_7_HIL-Ishikawa (Heraklio) 02 ER-.wiff,0187_CCLE_Batch_6_7_CMH_Ishikawa-Heraklio-02-ER-.wiff,94898,1506823,294028,2421662,404947,729432,2986713,416111,776210,5284454,3299142,2170770,1807015,2976089,3805180,11341321,480004,1239060,14896986,864275,390310,12164,270927,2097,10617,194844,4234,83522,3530,522780,44087,73811,778,13384,3990,66360,20230,2032366,397832,5654116,407039,48951,,3436436,931530,286,8253,,11417,50537,10939,14717,15288,12418,16811,676289,2180,2905950,2954475,31161,856677,2679117,14514826,32656,3260023,1813857,13948,2443,6400,10638,10994,3027,20365,429,7720,50899,1620
MIAPACA2_PANCREAS,pancreas,DMEM + 10% FBS,Batch6_7,male,26.36655196,0167_CCLE_Batch6_7_LIP-MIAPaCa-2.wiff,0167_CCLE_Batch6_7_HIL-MIA PaCa-2.wiff,0167_CCLE_Batch_6_7_CMH_MIA-PaCa-2.wiff,16524,1341692,130117,1409110,390135,276572,2478485,56582,4759386,3802786,1426046,3932218,3704971,9925788,11480337,12639942,479365,946944,11094440,48457,215701,22042,591942,780,3482,15332,1598,70530,6541,321778,26196,83296,966,8127,3770,33179,79915,4256589,895095,4649839,3290846,2108886,,6305658,500902,466,6303,4526,219667,5721,14622,5851,153155,3954,177,1344807,17140,1469199,434297,26691,1731482,15072069,571547,70078,737554,51629,7486,535,429,879,1736,388,1982,221,6905,92601,651
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,RPMI 1640 + 10% FBS,Batch6_7,male,NA,0254_CCLE_Batch6_7_LIP-P31FUJ.wiff,0254_CCLE_Batch6_7_HIL-P31_FUJ.wiff,0254_CCLE_Batch_6_7_CMH_P31-FUJ.wiff,3985,280287,183935,147609,58154,73833,2124630,309959,3102668,251242,1025867,99814,218829,955192,1054397,735385,28754,135509,2839482,405259,59785,13392,352962,431,547,69809,,11400,1180,27230,973,8885,568,236,4226,3229,801,255825,52532,942843,4113589,40944,,729563,74169,,11640,,3808,3100,1213,1190,691,52962,260,40460,2193629,202374,912446,4341,228778,965994,73302,11552,363359,427286,10280,3499,2664,7999,46751,6627,15876,197,986,19681,
PANC0213_PANCREAS,pancreas,RPMI 1640 + 15% FBS,Batch6_7,female,NA,0144_CCLE_Batch6_7_LIP-Panc0213.wiff,173-CCLE-Batch_2-HIL-Panc 02.03.wiff,173-CCLE_Batch_2_-CMH-Panc 02-03.wiff,5961,218641,283281,251686,303263,270404,2244756,337666,5905711,2141976,3558595,1449468,1093324,5665722,5934056,3768403,144045,480142,5715574,331150,1676425,41402,102441,935,457,55425,1860,134526,749,326126,16625,127329,8408,26005,1671,63383,4077,1340540,277336,6190366,8660373,1278962,,2633061,957988,634,10692,4193,142461,1271,10255,1842,3451,4181,449,607768,1195854,677751,806087,28931,1053966,5889557,557952,22344,201876,865428,11188,2015,3771,12068,54032,29040,27830,1190,2311,8640,1415
PANC0813_PANCREAS,pancreas,RPMI 1640 + 15% FBS,Batch6_7,male,114.2424991,0193_CCLE_Batch6_7_LIP-Panc0813.wiff,0193_CCLE_Batch6_7_HIL-Panc 08.13.wiff,0193_CCLE_Batch_6_7_CMH_Panc-08-13.wiff,17156,569127,292947,245355,261034,377564,3092391,640684,2676686,1039473,2592959,497052,797671,4520118,5474591,2842959,146598,281355,8554877,672395,1084430,18387,767767,876,2942,438003,1455,75278,1523,260344,12983,81183,6369,13886,2082,38490,14432,1247488,249366,5694551,2611613,6130009,,5298444,855285,327,7011,3021,96080,6011,21778,25463,4642,10310,591,562664,172889,2207699,1733626,29412,1270369,3780580,785762,26813,160944,142324,7348,763,,,2073,941,2712,329,4013,74450,681
SKNBE2_AUTONOMIC_GANGLIA,neuroblastoma,EMEM;F12 = 1;1 + 10% FBS,Batch6_7,male,39.44985973,0071_CCLE_Batch6_7_LIP-SK-N-BE2.wiff,0071_CCLE_Batch6_7_HIL-SK-N-BE(2).wiff,0071_CCLE_Batch_6_7_CMH_SK-N-BE-2.wiff,18728,726367,100903,491232,114709,268815,2100199,153030,2745403,2239440,2146729,962598,1031814,2221087,2341163,4043202,134721,489874,12366343,137599,819180,18574,919734,1496,24649,42166,1215,53103,2241,190434,10829,65355,644,8521,1745,21345,913,946299,121084,2875107,6731769,973264,,4514138,778292,312,7136,2261,18961,7804,6668,14656,95541,9568,1068,285034,1110,904107,623164,11063,1820128,4518946,507909,9914,1617725,158258,9320,929,948,842,1813,496,1172,1756,2892,71196,716
TE617T_SOFT_TISSUE,soft_tissue,DMEM + 10% FBS,Batch6_7,female,NA,0110_CCLE_Batch6_7_LIP-TE617T.wiff,0110_CCLE_Batch6_7_HIL-TE 617.T.wiff,0110_CCLE_Batch_6_7_CMH_TE-617-T.wiff,13218,59011,415748,1137833,532610,176480,1152364,30015,9802912,4051406,2333530,5213904,3871288,10629437,10898387,11343824,480643,1059952,984220,9492,285903,17812,57402,271,,22498,939,51135,328,132074,9379,83556,575,7072,759,30014,3484,3962078,887170,2905018,7163232,16544,,3235677,378327,417,7285,13301,10440,20565,4869,2245,28787,16315,134,1494109,4100,126726,868265,40027,344571,613606,163769,2493,50057,28908,2612,495,323,682,2530,1905,3066,367,1266,4901,640
